,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
159,tamil-nadu,2019,4,Others,410980,206859328.2685905
160,tamil-nadu,2021,1,Peer-to-peer payments,57446279,206405230307.9611
161,tamil-nadu,2021,1,Merchant payments,53811885,30722779534.582508
162,tamil-nadu,2021,1,Recharge & bill payments,24826273,11115915388.739548
163,tamil-nadu,2021,1,Financial Services,170620,215319360.4840321
164,tamil-nadu,2021,1,Others,301617,208899281.88347316
165,tamil-nadu,2021,2,Peer-to-peer payments,60812902,216379027686.30246
166,tamil-nadu,2021,2,Merchant payments,52048347,33504798112.88382
167,tamil-nadu,2021,2,Recharge & bill payments,32753032,13155346942.255478
168,tamil-nadu,2021,2,Financial Services,192614,225113402.6634022
169,tamil-nadu,2021,2,Others,351547,223054882.44675264
170,tamil-nadu,2021,3,Merchant payments,85074941,52932187058.575195
171,tamil-nadu,2021,3,Peer-to-peer payments,83833356,296121079294.8346
172,tamil-nadu,2021,3,Recharge & bill payments,34751691,15613287081.611631
173,tamil-nadu,2021,3,Financial Services,182097,246146707.2790811
174,tamil-nadu,2021,3,Others,515319,294622911.6328684
175,tamil-nadu,2021,4,Merchant payments,117578360,70539086832.13815
176,tamil-nadu,2021,4,Peer-to-peer payments,104493071,353529424598.23047
177,tamil-nadu,2021,4,Recharge & bill payments,36163870,18979178477.53405
178,tamil-nadu,2021,4,Financial Services,228761,275850497.094934
179,tamil-nadu,2021,4,Others,691914,400412189.80491126
180,tamil-nadu,2020,1,Peer-to-peer payments,30880360,101907683045.28436
181,tamil-nadu,2020,1,Merchant payments,21541556,8950736938.223478
182,tamil-nadu,2020,1,Recharge & bill payments,14134259,5493239429.7322235
183,tamil-nadu,2020,1,Financial Services,61427,41422107.813630365
184,tamil-nadu,2020,1,Others,335871,176604658.386683
185,tamil-nadu,2020,2,Peer-to-peer payments,21700844,82347647064.12332
186,tamil-nadu,2020,2,Recharge & bill payments,18474731,6414781159.484189
187,tamil-nadu,2020,2,Merchant payments,11477546,6909361871.628206
188,tamil-nadu,2020,2,Financial Services,78584,89189349.84916353
189,tamil-nadu,2020,2,Others,138405,65529451.74366937
190,tamil-nadu,2020,3,Peer-to-peer payments,31754077,123561080533.04672
191,tamil-nadu,2020,3,Merchant payments,20664887,12554589575.504852
192,tamil-nadu,2020,3,Recharge & bill payments,17521756,7476952307.406668
193,tamil-nadu,2020,3,Financial Services,129671,158512062.54590106
194,tamil-nadu,2020,3,Others,207434,90281020.15995154
195,tamil-nadu,2020,4,Peer-to-peer payments,47800741,172196381789.491
196,tamil-nadu,2020,4,Merchant payments,41297305,24417758781.65223
197,tamil-nadu,2020,4,Recharge & bill payments,21563946,9462546013.163391
198,tamil-nadu,2020,4,Financial Services,153044,186775413.14290395
199,tamil-nadu,2020,4,Others,364665,209735503.54521424
200,tamil-nadu,2018,1,Recharge & bill payments,3308548,646028338.3951533
201,tamil-nadu,2018,1,Peer-to-peer payments,2670613,10031518934.085688
202,tamil-nadu,2018,1,Merchant payments,326510,272002057.1736871
203,tamil-nadu,2018,1,Financial Services,115363,31876073.74792233
204,tamil-nadu,2018,1,Others,305588,280132294.11422664
205,tamil-nadu,2018,2,Recharge & bill payments,4464677,1189892955.8051775
206,tamil-nadu,2018,2,Peer-to-peer payments,4433762,18067624388.09562
207,tamil-nadu,2018,2,Merchant payments,627918,517130320.4660308
208,tamil-nadu,2018,2,Financial Services,167035,65402385.25640666
209,tamil-nadu,2018,2,Others,298736,285794226.64323723
